State,Population,Sex Ratio,Literacy Rate (%),Rural Population,Urban Population,Area (km*km),Density (1/km*km)
Uttar Pradesh,"19,98,12,341",912,67.68,"15,51,11,022","4,44,70,455","2,40,928",828
Maharashtra,"11,23,74,333",929,82.34,"6,15,45,441","5,08,27,531","3,07,713",365
Bihar,"10,40,99,452",918,61.8,"9,20,75,028","1,17,29,609","94,163","1,102"
West Bengal,"9,12,76,115",950,76.26,"6,22,13,676","2,91,34,060","88,752","1,030"
Andhra Pradesh,"8,45,80,777",993,67.02,"5,63,61,702","2,82,19,075","2,75,045",308
Madhya Pradesh,"7,26,26,809",931,69.32,"5,25,37,899","2,00,59,666","3,08,245",236
Tamil Nadu,"7,21,47,030",996,80.09,"3,71,89,229","3,49,49,729","1,30,058",555
Rajasthan,"6,85,48,437",928,66.11,"5,15,40,236","1,70,80,776","3,42,239",201
Karnataka,"6,10,95,297",973,75.36,"3,75,52,529","2,35,78,175","1,91,791",319
Gujarat,"6,04,39,692",919,78.03,"3,46,70,817","2,57,12,811","1,96,024",308
Odisha,"4,19,74,218",979,72.87,"3,49,51,234","69,96,124","1,55,707",269
Kerala,"3,34,06,061","1,084",94,"1,74,45,506","1,59,32,171","38,863",859
Jharkhand,"3,29,88,134",948,66.41,"2,50,36,946","79,29,292","79,714",414
Assam,"3,12,05,576",958,72.19,"2,67,80,526","43,88,756","78,438",397
Punjab,"2,77,43,338",895,75.84,"1,73,16,800","1,03,87,436","50,362",550
Chhattisgarh,"2,55,45,198",991,70.28,"1,96,03,658","59,36,538","1,35,191",189
Haryana,"2,53,51,462",879,75.55,"1,65,31,493","88,21,588","44,212",573
Delhi,"1,67,87,941",868,86.21,"9,44,727","1,29,05,780","1,484","11,297"
Jammu and Kashmir,"1,25,41,302",889,67.16,"91,34,820","34,14,106","2,22,236",56
Uttarakhand,"1,00,86,292",963,79.63,"70,25,583","30,91,169","53,483",189
Himachal Pradesh,"68,64,602",972,82.8,"61,67,805","6,88,704","55,673",123
Tripura,"36,73,917",960,87.22,"27,10,051","9,60,981","10,486",350
Meghalaya,"29,66,889",989,74.43,"23,68,971","5,95,036","22,429",132
Manipur,"27,21,756",992,79.21,"18,99,624","8,22,132","22,327",122
Nagaland,"19,78,502",931,79.55,"14,06,861","5,73,741","16,579",119
Goa,"14,58,545",973,88.7,"5,51,414","9,06,309","3,702",394
Arunachal Pradesh,"13,83,727",938,65.38,"10,69,165","3,13,446","83,743",17
Puducherry,"12,47,953","1,037",85.85,"3,94,341","8,50,123",479,"2,598"
Mizoram,"10,97,206",976,91.33,"5,29,037","5,61,997","21,081",52
Chandigarh,"10,55,450",818,86.05,"29,004","10,25,682",114,"9,252"
Sikkim,"6,10,577",890,81.42,"4,55,962","1,51,726","7,096",86
Andaman and Nicobar Islands,"3,80,581",876,86.63,"2,44,411","1,35,533","8,249",46
Dadra and Nagar Haveli,"3,43,709",774,76.24,"1,83,024","1,59,829",491,698
Daman and Diu,"2,43,247",618,87.1,"60,331","1,82,580",112,"2,169"
Lakshadweep,"64,473",946,91.85,"14,121","50,308",32,"2,013"
